,SPYG,SPYG,SPYG,SPYG,SPYG,SPYG,SPYG,SPYG,SPYV,SPYV,SPYV,SPYV,SPYV,SPYV,SPYV,SPYV,SPYD,SPYD,SPYD,SPYD,SPYD,SPYD,SPYD,SPYD
,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
Date,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-02,24.09375,24.09375,24.09375,24.09375,19.636709,2000,0.0,1.0,16.429688,16.519526000000003,16.429688,16.519526000000003,10.407194,40800,0.0,1.0,,,,,,,,
2000-10-03,23.8125,23.8125,23.8125,23.8125,19.407473,2000,0.0,1.0,16.613276000000003,16.613276000000003,16.613276000000003,16.613276000000003,10.466255,40000,0.0,1.0,,,,,,,,
2000-10-04,23.8125,23.8125,23.8125,23.8125,19.407473,0,0.0,1.0,16.648438,16.648438,16.648438,16.648438,10.488408999999999,16000,0.0,1.0,,,,,,,,
2000-10-05,23.53125,23.53125,23.53125,23.53125,19.178268,2000,0.0,1.0,16.648438,16.648438,16.648438,16.648438,10.488408999999999,16000,0.0,1.0,,,,,,,,
2000-10-06,23.53125,23.53125,23.53125,23.53125,19.178268,0,0.0,1.0,16.507813,16.507813,16.435537,16.435537,10.354283,1600,0.0,1.0,,,,,,,,
2000-10-09,23.53125,23.53125,23.53125,23.53125,19.178268,0,0.0,1.0,16.392574,16.392574,16.375,16.375,10.316142999999999,21600,0.0,1.0,,,,,,,,
2000-10-10,23.53125,23.53125,23.53125,23.53125,19.178268,0,0.0,1.0,16.375,16.375,16.375,16.375,10.316142999999999,2400,0.0,1.0,,,,,,,,
2000-10-11,23.53125,23.53125,23.53125,23.53125,19.178268,0,0.0,1.0,16.13085,16.13085,16.023438,16.023438,10.094664,56000,0.0,1.0,,,,,,,,
2000-10-12,21.203125,21.203125,21.203125,21.203125,17.280807,100000,0.0,1.0,16.023438,16.023438,16.023438,16.023438,10.094664,0,0.0,1.0,,,,,,,,
2000-10-13,21.203125,21.203125,21.203125,21.203125,17.280807,0,0.0,1.0,15.917962,15.984375,15.917962,15.984375,10.070052,21600,0.0,1.0,,,,,,,,
2000-10-16,22.25,22.25,22.25,22.25,18.134027,400,0.0,1.0,15.94335,15.94335,15.94335,15.94335,10.044209,20000,0.0,1.0,,,,,,,,
2000-10-17,22.25,22.25,22.25,22.25,18.134027,0,0.0,1.0,15.94335,15.94335,15.94335,15.94335,10.044209,0,0.0,1.0,,,,,,,,
2000-10-18,22.25,22.25,22.25,22.25,18.134027,0,0.0,1.0,15.94335,15.94335,15.94335,15.94335,10.044209,0,0.0,1.0,,,,,,,,
2000-10-19,22.25,22.25,22.25,22.25,18.134027,0,0.0,1.0,15.94335,15.94335,15.94335,15.94335,10.044209,0,0.0,1.0,,,,,,,,
2000-10-20,22.25,22.25,22.25,22.25,18.134027,0,0.0,1.0,15.94335,15.94335,15.94335,15.94335,10.044209,0,0.0,1.0,,,,,,,,
2000-10-23,22.25,22.25,22.25,22.25,18.134027,0,0.0,1.0,16.123037,16.123037,16.123037,16.123037,10.157408,800,0.0,1.0,,,,,,,,
2000-10-24,22.25,22.25,22.25,22.25,18.134027,0,0.0,1.0,16.123037,16.123037,16.123037,16.123037,10.157408,0,0.0,1.0,,,,,,,,
2000-10-25,22.234375,22.234375,21.984375,21.984375,17.917542,800,0.0,1.0,16.123037,16.123037,16.123037,16.123037,10.157408,0,0.0,1.0,,,,,,,,
