,SPDW,SPDW,SPDW,SPDW,SPDW,SPDW,SPDW,SPDW,SPEM,SPEM,SPEM,SPEM,SPEM,SPEM,SPEM,SPEM
,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
Date,,,,,,,,,,,,,,,,
2007-03-23,,,,,,,,,28.65,28.684998999999998,28.645,28.684998999999998,22.140095000000002,8600,0.0,1.0
2007-03-26,,,,,,,,,28.870001000000002,29.1,28.674999,29.1,22.460404999999998,8800,0.0,1.0
2007-03-27,,,,,,,,,28.700001,28.705,28.6,28.6,22.074492000000003,12400,0.0,1.0
2007-03-28,,,,,,,,,28.545,28.545,28.200001,28.200001,21.765757,34400,0.0,1.0
2007-03-29,,,,,,,,,28.6,28.629998999999998,28.5,28.5,21.997303,15400,0.0,1.0
2007-03-30,,,,,,,,,28.84,28.934998999999998,28.66,28.66,22.120798,30600,0.0,1.0
2007-04-02,,,,,,,,,28.674999,28.690001000000002,28.594998999999998,28.690001000000002,22.143955,12200,0.0,1.0
2007-04-03,,,,,,,,,29.08,29.195,29.055,29.055,22.425676,25800,0.0,1.0
2007-04-04,,,,,,,,,29.174999,29.26,29.174999,29.26,22.583902,400,0.0,1.0
2007-04-05,,,,,,,,,29.35,29.379998999999998,29.299999,29.360001,22.661087,13400,0.0,1.0
2007-04-09,,,,,,,,,29.584999,29.709999,29.514999,29.514999,22.780722,3200,0.0,1.0
2007-04-10,,,,,,,,,29.645,29.75,29.629998999999998,29.695,22.919647,7000,0.0,1.0
2007-04-11,,,,,,,,,29.825001,29.825001,29.440001000000002,29.469998999999998,22.745985,4000,0.0,1.0
2007-04-12,,,,,,,,,29.42,29.9,29.365,29.9,23.077876999999997,16200,0.0,1.0
2007-04-13,,,,,,,,,29.950001,29.98,29.834999,29.959999,23.124184,19600,0.0,1.0
2007-04-16,,,,,,,,,30.395,30.459999,30.305,30.395,23.459936,32200,0.0,1.0
2007-04-17,,,,,,,,,30.25,30.305,30.07,30.15,23.270836,19400,0.0,1.0
2007-04-18,,,,,,,,,30.075001,30.18,30.075001,30.174999,23.290125,1000,0.0,1.0
2007-04-19,,,,,,,,,29.77,29.85,29.57,29.85,23.039279999999998,22800,0.0,1.0
2007-04-20,,,,,,,,,30.325001,30.389999,30.225,30.26,23.355738,16000,0.0,1.0
2007-04-23,,,,,,,,,30.35,30.35,30.26,30.26,23.355738,2800,0.0,1.0
2007-04-24,,,,,,,,,30.315001000000002,30.315001000000002,30.139999,30.200001,23.309427,1800,0.0,1.0
2007-04-25,,,,,,,,,30.575001,30.709999,30.475,30.700001,23.695342999999998,162000,0.0,1.0
2007-04-26,32.650002,32.700001,32.650002,32.68,31.554976,3400.0,0.0,1.0,30.575001,30.625,30.445,30.469998999999998,23.517815,19000,0.0,1.0
2007-04-27,32.650002,32.689999,32.599998,32.689999,31.564631,9100.0,0.0,1.0,30.25,30.315001000000002,30.215,30.309998999999998,23.394327,36000,0.0,1.0
2007-04-30,32.59,32.700001,32.59,32.610001000000004,31.487389,4500.0,0.0,1.0,30.200001,30.200001,29.815001000000002,29.815001000000002,23.012273999999998,24600,0.0,1.0
2007-05-01,32.52,32.52,32.52,32.52,31.400482,100.0,0.0,1.0,29.75,29.93,29.719998999999998,29.905001000000002,23.081738,34800,0.0,1.0
2007-05-02,32.509997999999996,32.700001,32.220001,32.700001,31.574289,17700.0,0.0,1.0,30.1,30.325001,29.780001000000002,30.325001,23.405907,29600,0.0,1.0
2007-05-03,32.650002,32.75,32.650002,32.709998999999996,31.583941999999997,5700.0,0.0,1.0,30.5,30.719998999999998,30.5,30.66,23.664474,15400,0.0,1.0
2007-05-04,32.900002,33.0,32.900002,33.0,31.86396,1600.0,0.0,1.0,30.844998999999998,30.950001,30.764999,30.780001000000002,23.757095,36400,0.0,1.0
2007-05-07,33.200001,33.25,33.200001,33.25,32.105354,2900.0,0.0,1.0,30.905001000000002,31.0,30.905001000000002,30.959999,23.896019,13400,0.0,1.0
2007-05-08,32.75,32.900002,32.689999,32.900002,31.767405,600.0,0.0,1.0,30.934998999999998,30.934998999999998,30.58,30.65,23.656754,13200,0.0,1.0
2007-05-09,33.080002,33.080002,32.959998999999996,32.959998999999996,31.825336,1700.0,0.0,1.0,30.75,31.035,30.75,31.035,23.953907,93000,0.0,1.0
2007-05-10,32.799999,32.799999,32.330002,32.490002000000004,31.371519,4600.0,0.0,1.0,30.775,30.895,30.434998999999998,30.434998999999998,23.490807,24200,0.0,1.0
2007-05-11,32.799999,32.990002000000004,32.799999,32.950001,31.815683,1300.0,0.0,1.0,30.434998999999998,31.025,30.434998999999998,31.025,23.946188,31000,0.0,1.0
2007-05-14,32.900002,32.900002,32.849998,32.849998,31.719124,600.0,0.0,1.0,31.0,31.030001000000002,30.625,30.684998999999998,23.683767,35200,0.0,1.0
2007-05-15,32.799999,32.950001,32.450001,32.450001,31.332895,1600.0,0.0,1.0,30.725,30.915001,30.665001,30.719998999999998,23.710783,27200,0.0,1.0
2007-05-16,32.950001,32.950001,32.950001,32.950001,31.815683,2900.0,0.0,1.0,30.9,31.23,30.889999,31.23,24.104422,27200,0.0,1.0
2007-05-17,32.900002,32.900002,32.900002,32.900002,31.767405,200.0,0.0,1.0,30.870001000000002,31.17,30.844998999999998,31.09,23.996367000000003,29800,0.0,1.0
2007-05-18,32.869999,33.0,32.869999,33.0,31.86396,400.0,0.0,1.0,31.4,31.4,31.105,31.264999,24.131432999999998,9200,0.0,1.0
2007-05-21,33.049999,33.049999,32.400002,33.0,31.86396,8500.0,0.0,1.0,31.375,31.465,31.375,31.465,24.285795,3200,0.0,1.0
2007-05-22,33.099998,33.099998,33.099998,33.099998,31.960514,200.0,0.0,1.0,31.540001,31.625,31.455,31.540001,24.343683,17000,0.0,1.0
2007-05-23,33.349998,33.349998,33.25,33.25,32.105354,2600.0,0.0,1.0,31.65,31.690001000000002,31.4,31.4,24.235628,39800,0.0,1.0
2007-05-24,33.25,33.25,33.110001000000004,33.110001000000004,31.970175,1800.0,0.0,1.0,31.200001,31.299999,30.629998999999998,30.66,23.664474,95000,0.0,1.0
2007-05-25,33.110001000000004,33.110001000000004,33.110001000000004,33.110001000000004,31.970175,0.0,0.0,1.0,30.99,31.16,30.99,31.16,24.050392000000002,9400,0.0,1.0
2007-05-29,33.200001,33.200001,32.700001,32.830002,31.699814,3400.0,0.0,1.0,31.235001,31.290001,30.959999,31.059998999999998,23.973206,7400,0.0,1.0
2007-05-30,32.619999,32.900002,32.619999,32.900002,31.767405,1300.0,0.0,1.0,30.6,31.275,30.6,31.275,24.139154,33200,0.0,1.0
2007-05-31,33.400002,33.450001,33.400002,33.450001,32.29847,2400.0,0.0,1.0,31.559998999999998,31.57,31.375,31.41,24.243345,14400,0.0,1.0
2007-06-01,33.5,33.5,33.23,33.23,32.086040000000004,1700.0,0.0,1.0,31.799999,31.889999,31.799999,31.879998999999998,24.606112,10400,0.0,1.0
2007-06-04,33.599998,33.650002,33.599998,33.650002,32.491585,1100.0,0.0,1.0,31.83,31.959999,31.82,31.934998999999998,24.64856,48800,0.0,1.0
2007-06-05,33.599998,33.599998,33.200001,33.5,32.346745,1900.0,0.0,1.0,31.809998999999998,31.809998999999998,31.620001000000002,31.745001000000002,24.501913000000002,5200,0.0,1.0
2007-06-06,33.34,33.34,32.799999,32.799999,31.670847,1300.0,0.0,1.0,31.469998999999998,31.469998999999998,31.16,31.24,24.112133,22400,0.0,1.0
2007-06-07,32.779999,32.799999,32.400002,32.400002,31.284618,500.0,0.0,1.0,31.285,31.325001,30.695,30.84,23.803396,68000,0.0,1.0
2007-06-08,32.400002,32.400002,32.400002,32.400002,31.284618,0.0,0.0,1.0,30.875,31.43,30.875,31.43,24.258785,28400,0.0,1.0
2007-06-11,32.84,32.950001,32.75,32.849998,31.719124,1500.0,0.0,1.0,31.315001000000002,31.695,31.315001000000002,31.655001000000002,24.432446,8000,0.0,1.0
2007-06-12,32.599998,32.599998,32.52,32.52,31.400482,200.0,0.0,1.0,31.375,31.504998999999998,31.030001000000002,31.030001000000002,23.950052,20400,0.0,1.0
2007-06-13,32.52,32.52,32.52,32.52,31.400482,0.0,0.0,1.0,31.309998999999998,31.65,31.309998999999998,31.65,24.428587,15200,0.0,1.0
2007-06-14,32.900002,33.049999,32.900002,33.049999,31.912237,200.0,0.0,1.0,31.965,32.084998999999996,31.940001000000002,32.084998999999996,24.764333999999998,8200,0.0,1.0
2007-06-15,33.049999,33.049999,33.049999,33.049999,31.912237,0.0,0.0,1.0,32.5,32.709998999999996,32.5,32.665001000000004,25.211998,23200,0.0,1.0
2007-06-18,33.599998,33.599998,33.599998,33.599998,32.443306,200.0,0.0,1.0,32.75,32.970001,32.685001,32.810001,25.323919,5800,0.0,1.0
2007-06-19,33.599998,33.599998,33.599998,33.599998,32.443306,0.0,0.0,1.0,32.810001,32.84,32.810001,32.814999,25.327773999999998,1400,0.0,1.0
2007-06-20,33.610001000000004,33.610001000000004,33.310001,33.450001,32.29847,1100.0,0.0,1.0,33.075001,33.075001,32.685001,32.685001,25.227439999999998,7600,0.0,1.0
2007-06-21,33.200001,33.400002,32.389998999999996,33.400002,32.250191,1500.0,0.0,1.0,32.880001,33.154999,32.755001,33.025002,25.489862,16000,0.0,1.0
2007-06-22,33.18,33.18,33.18,33.18,32.037762,200.0,0.0,1.0,33.099998,33.099998,32.645,32.785,25.304625,14800,0.0,1.0
2007-06-25,33.099998,33.099998,33.099998,33.099998,31.960514,1100.0,0.0,1.0,32.785,32.970001,32.465,32.595001,25.157974,19400,0.0,1.0
2007-06-26,33.169998,33.169998,33.150002,33.150002,32.008796999999994,400.0,0.0,1.0,32.57,32.654999,32.290001000000004,32.290001000000004,24.922562,26800,0.0,1.0
2007-06-27,33.150002,33.150002,33.150002,33.150002,32.008796999999994,0.0,0.0,1.0,32.035,32.970001,32.035,32.970001,25.447411,26200,0.0,1.0
2007-06-28,33.150002,33.150002,33.150002,33.150002,32.008796999999994,100.0,0.0,1.0,32.950001,33.040001000000004,32.810001,33.0,25.470566,29200,0.0,1.0
2007-06-29,33.400002,33.400002,32.799999,32.799999,31.670847,1300.0,0.0,1.0,33.0,33.125,32.709998999999996,32.709998999999996,25.246731,8000,0.0,1.0
2007-07-02,33.459998999999996,33.75,33.459998999999996,33.75,32.588139,1400.0,0.0,1.0,33.400002,33.544998,33.400002,33.544998,25.891211,4000,0.0,1.0
2007-07-03,33.900002,33.900002,33.900002,33.900002,32.732975,500.0,0.0,1.0,33.875,34.035,33.834998999999996,33.950001,26.203808,9400,0.0,1.0
