Date,Open,High,Low,Close,Adj Close,Volume
2002-07-26,81.28,81.37,81.24,81.31,60.3624,246200
2002-07-29,81.22,81.22,81.04,81.04,60.1617,40200
2002-07-30,81.12,81.13,81.0,81.01,60.1392,95300
2002-07-31,81.17,81.31,81.15,81.26,60.325,38800
2002-08-01,81.33,81.45,81.33,81.42,60.4435,86800
2002-08-02,81.46,81.64,81.4,81.58,60.5617,83400
2002-08-05,81.63,81.73,81.57,81.71,60.6584,93100
2002-08-06,81.61,81.61,81.45,81.51,60.51,58200
2002-08-07,81.59,81.69,81.54,81.63,60.5995,127000
2002-08-08,81.61,81.62,81.47,81.51,60.51,111800
2002-08-09,81.48,81.56,81.46,81.53,60.5249,50900
2002-08-12,81.51,81.57,81.47,81.52,60.5175,52300
2002-08-13,81.59,81.68,81.48,81.66,60.6216,36200
2002-08-14,81.69,81.71,81.46,81.48,60.488,108700
2002-08-15,81.38,81.54,81.3,81.41,60.4362,87700
2002-08-16,81.54,81.55,81.31,81.36,60.3992,274500
2002-08-19,81.41,81.43,81.31,81.37,60.4066,36000
2002-08-20,81.51,81.57,81.46,81.56,60.5477,51400
2002-08-21,81.46,81.54,81.42,81.49,60.4953,43100
2002-08-22,81.5,81.5,81.38,81.4,60.4288,47700
2002-08-23,81.48,81.52,81.44,81.5,60.5022,60900
2002-08-26,81.49,81.55,81.45,81.49,60.4953,49700
2002-08-27,81.4,81.45,81.35,81.43,60.451,54700
2002-08-28,81.51,81.53,81.46,81.49,60.4953,50600
2002-08-29,81.64,81.64,81.55,81.58,60.5617,53700
2002-08-30,81.63,81.63,81.52,81.61,60.5847,143800
2002-09-03,81.62,81.78,81.61,81.67,60.7272,83000
2002-09-04,81.67,81.73,81.6,81.64,60.705,49500
2002-09-05,81.69,81.73,81.64,81.73,60.773,49000
2002-09-06,81.55,81.61,81.53,81.57,60.6532,33700
2002-09-09,81.52,81.57,81.45,81.46,60.5722,65200
2002-09-10,81.44,81.54,81.42,81.51,60.6087,51000
2002-09-11,81.4,81.46,81.36,81.46,60.5722,24700
2002-09-12,81.48,81.55,81.46,81.52,60.6165,50100
2002-09-13,81.55,81.59,81.52,81.58,60.6607,95100
2002-09-16,81.61,81.61,81.54,81.55,60.6386,39000
2002-09-17,81.52,81.62,81.48,81.61,60.6833,28800
2002-09-18,81.64,81.7,81.6,81.6,60.6757,173700
2002-09-19,81.76,81.77,81.66,81.77,60.8023,191100
2002-09-20,81.74,81.79,81.7,81.78,60.8101,360800
2002-09-23,81.82,81.85,81.75,81.8,60.8246,263600
2002-09-24,81.87,81.94,81.78,81.84,60.8544,659400
2002-09-25,81.79,81.83,81.7,81.76,60.795,240400
2002-09-26,81.76,81.82,81.69,81.79,60.818000000000005,81100
2002-09-27,81.85,81.96,81.81,81.96,60.943000000000005,136200
2002-09-30,82.03,82.13,82.0,82.08,61.0329,216900
2002-10-01,81.91,82.0,81.84,81.86,60.9579,94100
2002-10-02,81.89,81.95,81.83,81.93,61.0099,79400
2002-10-03,81.9,81.97,81.8,81.94,61.018,196500
2002-10-04,81.77,81.93,81.76,81.87,60.9653,205600
2002-10-07,81.97,81.97,81.88,81.97,61.04,171600
2002-10-08,81.85,82.0,81.85,81.89,60.9808,167100
2002-10-09,81.99,82.06,81.92,82.06,61.1074,332800
2002-10-10,82.03,82.08,81.93,81.98,61.0477,166200
2002-10-11,81.95,81.95,81.8,81.85,60.9505,407000
2002-10-14,81.82,81.88,81.82,81.87,60.9653,54500
2002-10-15,81.67,81.7,81.54,81.56,60.7344,100800
2002-10-16,81.65,81.67,81.55,81.59,60.7572,51300
2002-10-17,81.52,81.57,81.48,81.52,60.7047,239200
2002-10-18,81.49,81.59,81.41,81.59,60.7572,100600
2002-10-21,81.56,81.57,81.37,81.41,60.6231,595800
2002-10-22,81.47,81.48,81.37,81.4,60.6159,325800
2002-10-23,81.5,81.58,81.43,81.46,60.66,126700
2002-10-24,81.51,81.64,81.5,81.6,60.765,69400
2002-10-25,81.71,81.78,81.66,81.74,60.8689,56000
2002-10-28,81.89,81.9,81.83,81.85,60.9505,31100
2002-10-29,81.94,82.09,81.93,82.03,61.0848,25000
2002-10-30,82.01,82.1,81.97,82.02,61.0775,28800
2002-10-31,82.03,82.17,81.99,82.16,61.1822,153700
2002-11-01,81.97,82.02,81.86,81.94,61.1164,50300
2002-11-04,81.85,81.9,81.83,81.86,61.0571,255200
2002-11-05,81.89,81.89,81.78,81.85,61.0496,342100
2002-11-06,81.84,81.99,81.8,81.88,61.0721,176100
2002-11-07,81.9,81.92,81.84,81.92,61.1021,39900
2002-11-08,81.86,81.91,81.83,81.89,61.0793,27800
2002-11-11,81.87,81.97,81.86,81.97,61.1389,83800
2002-11-12,81.94,82.0,81.93,81.99,61.1543,50300
2002-11-13,81.94,82.04,81.94,82.0,61.1614,46400
2002-11-14,81.94,81.94,81.8,81.8,61.0119,30900
2002-11-15,81.8,81.84,81.75,81.84,61.0422,27500
2002-11-18,81.8,81.86,81.77,81.84,61.0422,27300
2002-11-19,81.85,81.86,81.78,81.82,61.0276,22400
2002-11-20,81.88,81.88,81.7,81.75,60.975,19400
2002-11-21,81.68,81.72,81.63,81.64,60.8927,72500
2002-11-22,81.66,81.68,81.61,81.61,60.8708,43400
2002-11-25,81.62,81.71,81.61,81.66,60.9079,49100
2002-11-26,81.72,81.82,81.69,81.81,61.0199,28500
2002-11-27,81.73,81.73,81.61,81.67,60.9153,542100
2002-11-29,81.72,81.72,81.67,81.71,60.9448,69100
2002-12-02,81.5,81.64,81.42,81.62,60.9672,74100
2002-12-03,81.66,81.66,81.58,81.65,60.99,88900
2002-12-04,81.71,81.75,81.62,81.7,61.0279,220000
2002-12-05,81.67,81.79,81.63,81.77,61.0796,122300
2002-12-06,81.91,81.91,81.78,81.85,61.1392,470600
2002-12-09,81.9,81.92,81.84,81.87,61.1546,83500
2002-12-10,81.9,81.91,81.82,81.86,61.1467,32500
2002-12-11,81.89,81.96,81.88,81.93,61.1991,108700
2002-12-12,81.88,82.0,81.87,81.96,61.2218,41200
2002-12-13,81.92,81.96,81.88,81.9,61.1774,91600
2002-12-16,81.93,81.93,81.83,81.86,61.1467,36500
2002-12-17,81.92,81.94,81.87,81.94,61.2072,47200
2002-12-18,82.03,82.07,81.99,82.07,61.303999999999995,275400
2002-12-19,82.06,82.16,82.04,82.16,61.3712,419200
2002-12-20,82.12,82.15,82.07,82.12,61.3417,46800
2002-12-23,82.11,82.13,82.07,82.13,61.3489,49100
2002-12-24,82.24,82.25,82.2,82.22,61.4164,73300
2002-12-26,82.23,82.28,82.19,82.28,61.4608,24800
2002-12-27,82.35,82.39,82.3,82.38,61.5355,45600
2002-12-30,82.36,82.42,82.34,82.39,61.5431,101400
2002-12-31,82.26,82.32,82.24,82.31,61.5874,207600
2003-01-02,82.16,82.18,81.96,82.0,61.3548,323800
2003-01-03,81.94,82.01,81.91,82.01,61.3628,55100
2003-01-06,81.95,81.98,81.87,81.96,61.3248,133000
2003-01-07,81.94,82.06,81.93,82.02,61.3701,99900
2003-01-08,82.1,82.14,82.07,82.09,61.4223,85000
2003-01-09,82.04,82.04,81.91,81.94,61.3101,120500
2003-01-10,82.06,82.06,81.94,82.05,61.3928,43700
2003-01-13,82.02,82.06,81.97,82.03,61.3774,71500
2003-01-14,82.1,82.11,82.04,82.06,61.3999,40700
2003-01-15,82.1,82.17,82.09,82.09,61.4223,199300
2003-01-16,82.09,82.14,82.02,82.14,61.4599,31300
2003-01-17,82.21,82.22,82.12,82.12,61.4446,40300
2003-01-21,82.16,82.23,82.13,82.22,61.5197,92800
2003-01-22,82.2,82.28,82.2,82.28,61.5641,48100
2003-01-23,82.2,82.27,82.2,82.23,61.5276,49700
2003-01-24,82.26,82.3,82.22,82.22,61.5197,134500
2003-01-27,82.25,82.27,82.19,82.22,61.5197,333200
2003-01-28,82.23,82.25,82.17,82.24,61.5346,1039400
2003-01-29,82.26,82.27,82.14,82.17,61.4821,27400
2003-01-30,82.16,82.27,82.15,82.27,61.5563,138300
2003-01-31,82.28,82.28,82.2,82.25,61.5424,136600
2003-02-03,82.09,82.11,82.05,82.08,61.5067,94800
2003-02-04,82.17,82.18,82.12,82.17,61.5738,85700
2003-02-05,82.17,82.2,82.1,82.14,61.5506,27300
2003-02-06,82.2,82.21,82.15,82.18,61.5812,66400
2003-02-07,82.16,82.26,82.12,82.25,61.6337,70100
2003-02-10,82.24,82.25,82.15,82.19,61.589,60900
2003-02-11,82.13,82.23,82.13,82.22,61.6112,59000
2003-02-12,82.24,82.3,82.23,82.29,61.663999999999994,77900
2003-02-13,82.3,82.38,82.27,82.36,61.7162,63500
