Date,Open,High,Low,Close,Adj Close,Volume
1998-12-22,32.4062,32.5,31.7812,32.0469,25.3875,300500
1998-12-23,32.75,32.8125,32.1562,32.8125,25.9942,338300
1998-12-24,32.8125,32.8125,32.5625,32.6875,25.8951,243700
1998-12-28,33.1875,33.1875,32.5938,32.7812,25.9694,309300
1998-12-29,32.9375,33.0156,32.5,32.875,26.0439,123800
1998-12-30,32.6875,33.1406,32.5781,32.75,25.9447,95600
1998-12-31,32.75,32.9062,32.3438,32.625,25.8457,77200
1999-01-04,32.6562,33.5625,32.5938,33.0,26.1431,650600
1999-01-05,33.0625,34.0312,33.0625,33.8438,26.8113,295200
1999-01-06,34.6875,34.9375,34.4062,34.8438,27.6033,624700
1999-01-07,34.5,35.0312,34.2812,34.7344,27.5168,534600
1999-01-08,35.5,35.5625,34.4844,34.875,27.6282,532800
1999-01-11,35.875,35.875,34.8438,35.2188,27.9003,497900
1999-01-12,35.5,35.5625,34.2656,34.2656,27.1454,486000
1999-01-13,32.0,35.1562,32.0,34.25,27.1331,548300
1999-01-14,34.3438,34.625,33.5625,33.7812,26.7614,366300
1999-01-15,34.0,34.7969,33.8438,34.7812,27.5537,653900
1999-01-19,35.625,36.0,35.0156,35.9844,28.5069,437300
1999-01-20,36.875,37.4844,36.25,36.3125,28.767,1132200
1999-01-21,36.25,36.3125,35.125,35.375,28.0241,1492900
1999-01-22,34.75,35.4062,34.3906,34.75,27.5291,1291000
1999-01-25,35.1875,35.375,34.5938,35.3594,28.0119,946600
1999-01-26,35.75,36.8125,35.75,36.7812,29.1382,713900
1999-01-27,37.25,37.4844,36.0,36.0,28.5194,1366900
1999-01-28,36.75,37.2812,36.6094,37.2656,29.522,903600
1999-01-29,37.375,37.8438,36.9375,37.8125,29.9556,933600
1999-02-01,38.1562,38.375,37.5625,37.8438,29.98,913000
1999-02-02,38.0,38.0,36.625,37.2031,29.4727,1259200
1999-02-03,37.0625,38.0625,36.8125,37.4688,29.683000000000003,1334100
1999-02-04,37.75,37.75,35.875,36.1875,28.6676,1945900
1999-02-05,36.0,36.2188,34.75,35.3125,27.9746,1832400
1999-02-08,35.75,36.5,35.125,35.9062,28.4453,1314600
1999-02-09,36.0,36.0312,34.3125,34.5,27.3308,2085500
1999-02-10,34.6562,35.4062,34.25,34.75,27.5291,1401800
1999-02-11,35.375,36.2812,35.0312,36.2188,28.6925,2666700
1999-02-12,35.375,35.7812,34.5938,34.7812,27.5537,2917400
1999-02-16,35.75,35.8125,34.5,34.625,27.4301,1726400
1999-02-17,33.75,34.9688,33.5625,33.8438,26.8113,2783500
1999-02-18,34.3125,34.4062,33.3438,34.0312,26.9594,2075600
1999-02-19,34.625,34.875,34.1562,34.3438,27.2073,1673600
1999-02-22,34.5938,35.6562,34.3438,35.5625,28.1727,2368000
1999-02-23,36.0,36.4688,35.5625,36.0312,28.5439,2065500
1999-02-24,36.375,36.4375,35.0312,35.0312,27.7517,2500500
1999-02-25,34.375,35.125,34.125,35.125,27.8262,2566200
1999-02-26,35.0625,35.125,33.75,34.0625,26.9842,2342600
1999-03-01,33.625,34.1875,33.4375,33.9062,26.8605,1092100
1999-03-02,34.1875,34.5,33.0,33.0,26.1431,2480200
1999-03-03,33.5,33.7188,32.875,33.5625,26.5883,1607800
1999-03-04,34.375,34.4688,33.125,33.9062,26.8605,3199100
1999-03-05,34.875,35.0,34.2656,34.6875,27.4796,1876900
1999-03-08,35.5,35.75,35.0312,35.6875,28.2717,1659400
1999-03-09,35.5,36.1875,35.1875,35.3125,27.9746,936000
1999-03-10,35.3125,35.5312,34.8906,35.3125,27.9746,442000
1999-03-11,35.5,35.9688,34.9062,35.25,27.9253,1216200
1999-03-12,35.5625,35.5625,34.5625,34.9375,27.6778,836000
1999-03-15,35.1875,35.5,34.6406,35.5,28.1231,432100
1999-03-16,35.5312,36.25,35.4062,36.1094,28.6059,758800
