Date,Open,High,Low,Close,Adj Close,Volume
1998-12-22,30.25,30.25,29.8281,29.8281,14.7383,7900
1998-12-23,29.7969,29.7969,29.6406,29.7031,14.6765,24100
1998-12-24,30.2188,30.3125,30.1562,30.25,14.9467,23800
1998-12-28,30.1875,30.25,30.0469,30.0938,14.8696,3100
1998-12-29,30.2188,30.6719,30.2188,30.5938,15.1163,12000
1998-12-30,30.75,30.8281,30.3438,30.3438,14.9933,70400
1998-12-31,30.2344,30.2344,30.0312,30.2344,14.939,21600
1999-01-04,30.0156,30.25,29.625,29.75,14.6996,109300
1999-01-05,29.9844,30.1094,29.8594,30.1094,14.8774,111200
1999-01-06,30.2031,30.5156,30.2031,30.4219,15.0319,41000
1999-01-07,30.4219,30.7344,30.25,30.3125,14.9775,222300
1999-01-08,30.4062,30.5156,30.1094,30.4844,15.0626,135900
1999-01-11,30.3125,30.3125,29.5625,29.6719,14.6612,129000
1999-01-12,29.6406,30.125,29.5312,29.6875,14.6687,7100
1999-01-13,29.5,30.1094,29.5,29.8906,14.769,25900
1999-01-14,29.4688,29.7656,29.25,29.3906,14.522,20000
1999-01-15,29.5,29.7969,29.4219,29.5312,14.5914,6900
1999-01-19,30.4375,30.5312,30.0,30.5312,15.0859,12200
1999-01-20,30.5625,30.7344,30.2812,30.4062,15.0236,32700
1999-01-21,30.625,30.625,30.2969,30.2969,14.9699,20500
1999-01-22,30.0938,30.7188,29.9688,30.5,15.0702,20800
1999-01-25,30.5,30.5,29.3594,29.3594,14.5067,13600
1999-01-26,29.6875,29.9375,29.2344,29.9375,14.7923,15200
1999-01-27,29.8594,29.8594,29.4844,29.4844,14.5686,7800
1999-01-28,29.5625,29.9375,29.5312,29.5312,14.5914,17600
1999-01-29,29.5312,29.6562,29.2031,29.4844,14.5686,39800
1999-02-01,29.6562,29.6562,29.25,29.4219,14.5375,12200
1999-02-02,29.0469,29.1094,28.6562,29.0312,14.3444,27700
1999-02-03,28.875,29.2188,28.875,29.1875,14.4218,32500
1999-02-04,29.1406,29.1406,28.75,28.75,14.2052,18200
1999-02-05,28.8594,29.0156,28.7656,28.7656,14.2133,8100
1999-02-08,28.7812,28.9688,28.7188,28.7656,14.2133,13300
1999-02-09,28.8281,29.1562,28.7656,28.8906,14.275,12200
1999-02-10,28.8906,28.9844,28.6719,28.6875,14.1746,8000
1999-02-11,28.7656,28.9688,28.6719,28.8125,14.2365,4400
1999-02-12,28.9531,28.9531,28.2188,28.3438,14.0046,103000
1999-02-16,28.7188,28.8594,28.6406,28.8594,14.2596,59300
1999-02-17,28.7812,29.25,28.6562,28.6562,14.1593,57400
1999-02-18,28.7812,29.5625,28.6562,29.1719,14.4139,14000
1999-02-19,29.0156,29.1562,28.75,28.8594,14.2596,9600
1999-02-22,28.9688,29.7969,28.9688,29.7969,14.7229,6900
1999-02-23,29.5312,29.5312,28.75,28.8594,14.2596,15100
1999-02-24,28.9531,29.5625,28.9531,29.125,14.3907,66000
1999-02-25,28.9375,28.9688,28.375,28.5,14.0818,23600
1999-02-26,28.7031,28.7031,28.2656,28.6719,14.1673,11400
1999-03-01,28.4375,28.4375,28.0781,28.25,13.9586,8400
1999-03-02,28.4375,28.5156,27.8281,27.8281,13.7497,10300
1999-03-03,27.8438,28.0156,27.8438,27.8438,13.7577,4700
1999-03-04,28.0781,28.2812,28.0,28.2812,13.9739,5700
1999-03-05,28.75,28.8125,28.4219,28.7656,14.2133,21000
1999-03-08,28.6406,28.6406,28.2969,28.4375,14.0514,39100
1999-03-09,28.4688,28.5781,28.1875,28.3594,14.0125,5800
1999-03-10,28.2344,28.375,28.1719,28.2656,13.9664,34000
1999-03-11,28.2969,28.6562,28.2188,28.4844,14.0743,9600
1999-03-12,28.8906,28.9219,28.6562,28.7969,14.2286,7800
1999-03-15,28.9219,29.0,28.75,28.875,14.2669,15900
1999-03-16,28.7812,28.9219,28.6094,28.7656,14.2133,10100
1999-03-17,28.8281,28.8906,28.5,28.5,14.0818,12100
1999-03-18,28.4375,28.9219,28.4375,28.9219,14.2907,13800
1999-03-19,28.5938,28.75,28.2031,28.2031,14.0268,51000
1999-03-22,28.2031,28.5312,28.2031,28.2969,14.0739,38400
1999-03-23,28.0469,28.0469,27.2344,27.4062,13.6308,34400
1999-03-24,27.5938,27.9062,27.25,27.7812,13.8172,23700
1999-03-25,27.7969,27.7969,27.5312,27.6875,13.7708,7600
1999-03-26,27.2656,27.3906,27.1562,27.3281,13.5918,12300
1999-03-29,27.3906,27.5469,27.1875,27.1875,13.5219,14500
1999-03-30,26.9375,27.0781,26.75,26.75,13.3045,11500
1999-03-31,26.9375,26.9844,26.6875,26.6875,13.2729,20500
1999-04-01,26.7969,27.25,26.7969,27.25,13.552999999999999,11200
1999-04-05,27.3281,27.5781,27.1875,27.4688,13.6619,8400
1999-04-06,27.5,27.625,27.2969,27.3281,13.5918,38900
1999-04-07,27.5625,27.75,27.4375,27.6875,13.7708,29100
1999-04-08,27.7812,28.5312,27.7812,28.4219,14.1357,44900
1999-04-09,28.4688,28.4688,28.1562,28.2188,14.0345,17300
1999-04-12,28.25,28.6719,28.1562,28.625,14.237,9500
1999-04-13,28.625,28.6562,28.1562,28.1562,14.004000000000001,13000
1999-04-14,28.25,28.25,27.7344,27.75,13.8013,26600
1999-04-15,27.8281,28.1406,27.8281,28.0312,13.9416,17500
1999-04-16,28.1875,28.4062,28.1719,28.3438,14.097000000000001,2800
1999-04-19,28.625,29.125,28.5781,28.625,14.237,11900
1999-04-20,28.6562,28.9375,28.6562,28.9375,14.3919,10300
1999-04-21,29.0625,29.4531,28.8594,29.4531,14.6489,19600
1999-04-22,29.3906,29.3906,28.9844,29.3594,14.6019,13200
1999-04-23,29.5312,29.5312,29.3125,29.3438,14.5945,6100
1999-04-26,29.3438,29.5469,29.1875,29.1875,14.5167,6100
1999-04-27,29.0469,29.375,29.0469,29.3594,14.6019,8700
1999-04-28,29.4844,29.5469,29.2344,29.2344,14.5402,8700
1999-04-29,29.7344,29.8281,29.6406,29.6562,14.7496,13700
1999-04-30,29.5312,29.5938,29.0,29.2656,14.5557,32500
1999-05-03,29.3594,29.7969,29.3594,29.7031,14.7729,4400
1999-05-04,29.875,29.875,29.375,29.4531,14.6489,50200
1999-05-05,29.5156,29.6875,29.3906,29.6875,14.7654,627100
1999-05-06,29.4688,29.5625,29.0625,29.0625,14.4547,16700
1999-05-07,29.4219,29.5938,29.4219,29.4219,14.6332,6100
1999-05-10,29.4219,29.4219,29.3281,29.3438,14.5945,4100
1999-05-11,29.2656,29.4688,29.0469,29.4531,14.6489,15600
1999-05-12,29.3906,29.5312,29.2344,29.5312,14.6875,11800
1999-05-13,29.4219,30.0,29.4219,29.9219,14.8818,10300
1999-05-14,29.6562,29.6562,29.3594,29.3594,14.6019,15600
1999-05-17,29.5469,29.9844,29.3281,29.9688,14.9052,10200
1999-05-18,29.9219,29.9219,29.2656,29.3125,14.5788,10800
1999-05-19,29.6094,29.9531,29.6094,29.9219,14.8818,31100
1999-05-20,29.8906,30.1094,29.6875,29.8594,14.8509,28200
1999-05-21,29.6875,29.7656,29.5781,29.5781,14.7111,7000
1999-05-24,29.9219,30.0312,29.7031,29.875,14.8585,10900
1999-05-25,30.0,30.3438,29.875,29.9062,14.874,20900
1999-05-26,29.8594,30.1406,29.7188,30.0625,14.9518,14900
1999-05-27,29.9375,29.9375,29.5312,29.5469,14.6954,8900
1999-05-28,29.625,29.7031,29.6094,29.6094,14.7264,3100
1999-06-01,29.5156,29.5938,29.25,29.5938,14.7191,5400
1999-06-02,29.7031,29.7344,29.4062,29.5938,14.7191,60000
1999-06-03,29.5938,29.5938,29.2031,29.3125,14.5788,8200
1999-06-04,29.5625,29.75,29.5312,29.75,14.7963,13400
1999-06-07,29.9375,30.0781,29.8281,30.0,14.9203,10900
1999-06-08,30.1719,30.2656,30.0,30.0,14.9203,4300
1999-06-09,30.125,30.2812,30.0938,30.2344,15.0375,5000
1999-06-10,30.0,30.0,29.7188,29.9844,14.913,4800
1999-06-11,30.0,30.0312,29.75,29.7812,14.8119,7300
1999-06-14,30.1562,30.6406,30.1406,30.6094,15.2236,79600
1999-06-15,30.6719,30.8125,30.625,30.6406,15.2386,43500
1999-06-16,30.7188,31.0,30.7188,30.9375,15.387,124900
1999-06-17,30.7031,30.8438,30.625,30.6719,15.2552,4000
1999-06-18,30.7812,30.875,30.5469,30.5938,15.3096,68500
1999-06-21,30.4219,30.5781,30.2344,30.3594,15.1918,58600
1999-06-22,30.2812,30.4531,30.25,30.25,15.1373,11000
1999-06-23,30.3594,30.3594,30.0938,30.1562,15.0903,8700
1999-06-24,29.9219,29.9219,29.6719,29.8281,14.9265,5100
1999-06-25,29.7188,30.0312,29.6719,29.6719,14.8481,18200
1999-06-28,29.9375,30.1562,29.9375,29.9844,15.0042,9900
1999-06-29,29.9375,30.0625,29.7812,30.0,15.0122,3900
1999-06-30,30.2031,30.9219,30.0312,30.6406,15.3328,26100
