Date,Open,High,Low,Close,Adj Close,Volume
1998-12-22,24.8125,25.0625,24.8125,25.0312,18.9326,5700
1998-12-23,25.1875,25.5938,25.1875,25.5938,19.3583,18100
1998-12-24,25.625,25.75,25.5156,25.75,19.4764,4900
1998-12-28,25.6719,25.75,25.375,25.375,19.1926,15500
1998-12-29,25.375,25.9375,25.375,25.9375,19.6177,5300
1998-12-30,26.0,26.0312,25.7188,25.7188,19.4526,17300
1998-12-31,25.8125,26.0,25.75,26.0,19.6657,6600
1999-01-04,26.25,26.375,25.7812,25.9375,19.6177,249200
1999-01-05,26.0,26.3438,26.0,26.3438,19.9251,4400
1999-01-06,26.5312,26.7812,26.4688,26.7812,20.2561,38500
1999-01-07,26.5312,26.6875,26.3438,26.6562,20.1615,15900
1999-01-08,26.7188,26.9844,26.7188,26.9844,20.4101,24400
1999-01-11,26.9688,27.25,26.8125,27.0469,20.4572,7700
1999-01-12,27.125,27.25,26.9062,26.9375,20.3745,270700
1999-01-13,25.7812,26.875,25.7812,26.6875,20.1855,7100
1999-01-14,26.7812,26.8594,26.375,26.4688,20.0198,12200
1999-01-15,26.5625,26.9062,26.5625,26.8281,20.2917,7700
1999-01-19,27.2812,27.6562,27.125,27.5938,20.871,22700
1999-01-20,27.75,28.125,27.5938,27.75,20.9891,25800
1999-01-21,27.6875,27.6875,26.7188,26.7812,20.2561,23200
1999-01-22,26.5938,26.875,26.4062,26.6719,20.1739,67100
1999-01-25,26.6875,26.9062,26.6875,26.8906,20.3389,495300
1999-01-26,26.9375,27.0312,26.6719,27.0156,20.4332,187400
1999-01-27,27.0938,27.0938,26.75,26.75,20.2327,6800
1999-01-28,27.0,27.3438,27.0,27.25,20.6107,25800
1999-01-29,27.2812,27.2812,26.9062,27.25,20.6107,13800
1999-02-01,27.375,27.4688,27.1562,27.4062,20.7291,34000
1999-02-02,26.9688,27.0469,26.625,27.0,20.4216,141700
1999-02-03,26.9375,27.5156,26.9375,27.5156,20.8117,38900
