Date,Open,High,Low,Close,Adj Close,Volume
1998-12-22,25.3125,25.4688,25.3125,25.4688,20.0373,3700
1998-12-23,25.5,25.75,25.4688,25.5781,20.1241,12000
1998-12-24,25.9375,26.0469,25.8125,26.0469,20.491999999999997,1600
1998-12-28,25.9219,25.9375,25.8125,25.8125,20.308,8600
1998-12-29,25.8906,26.375,25.8906,26.375,20.7502,1100
1998-12-30,26.3594,26.4062,26.1562,26.1562,20.5782,31700
1998-12-31,26.1562,26.25,26.125,26.125,20.5537,32400
1999-01-04,26.1562,26.5312,25.9062,25.9688,20.4312,5200
1999-01-05,26.125,26.4062,26.125,26.4062,20.7749,1300
1999-01-06,26.7188,27.1562,26.7188,27.1562,21.3649,8100
1999-01-07,27.0312,27.3125,27.0,27.125,21.3406,13700
1999-01-08,27.2812,27.4062,27.1094,27.1562,21.3649,18600
1999-01-11,27.25,27.2812,26.7969,27.0156,21.2542,63100
1999-01-12,26.6094,26.6875,26.2812,26.3125,20.7013,3300
1999-01-13,25.6875,26.4375,25.6875,26.4375,20.7999,3400
1999-01-14,26.1875,26.3125,25.7188,25.8438,20.3322,36600
1999-01-15,26.1875,26.2031,26.0469,26.1719,20.5908,34800
1999-01-19,26.4688,26.5781,26.1562,26.1562,20.5782,4100
1999-01-20,26.5312,26.8438,26.4219,26.5938,20.9228,3500
1999-01-21,26.5312,26.5625,26.2812,26.3438,20.7262,31500
1999-01-22,25.9375,26.5469,25.875,26.4688,20.8246,12300
1999-01-25,26.3438,26.4688,26.2188,26.4062,20.7749,8100
1999-01-26,26.5625,27.0312,26.4844,27.0312,21.2669,3700
1999-01-27,27.0625,27.125,27.0,27.0,21.241999999999997,1900
1999-01-28,27.0625,27.2812,27.0625,27.2812,21.4636,4300
1999-01-29,27.375,27.5625,27.1875,27.4688,21.6108,6800
1999-02-01,27.5938,27.6094,27.4375,27.5312,21.66,6100
1999-02-02,27.3125,27.3125,26.9375,27.1875,21.3894,20900
1999-02-03,27.125,27.6562,27.0938,27.625,21.7337,23100
1999-02-04,27.7969,27.8281,27.4375,27.4688,21.6108,19500
1999-02-05,27.1875,27.3594,26.7812,26.7812,21.0699,5800
1999-02-08,27.0156,27.2188,26.6719,27.2188,21.4144,8200
1999-02-09,26.875,26.9062,26.375,26.375,20.7502,9400
1999-02-10,26.3438,26.5312,26.2188,26.375,20.7502,9200
1999-02-11,26.5312,27.2656,26.4531,27.2344,21.4263,12200
1999-02-12,26.875,26.9062,26.5781,26.75,21.0455,5800
1999-02-16,26.9844,27.25,26.9688,27.0938,21.3161,9300
1999-02-17,27.1562,27.5469,27.0,27.0,21.241999999999997,14700
1999-02-18,27.0,27.0312,26.7656,27.0312,21.2669,3500
1999-02-19,27.0625,27.1719,26.9844,27.1719,21.3769,900
1999-02-22,27.25,27.8594,27.25,27.8594,21.918000000000003,14000
1999-02-23,27.875,27.9062,27.5,27.7188,21.8076,6800
1999-02-24,27.9062,28.0938,27.375,27.375,21.5371,9000
1999-02-25,27.3125,27.3438,26.6562,27.0625,21.2913,19100
