Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2007-05-30,26.245001000000002,26.245001000000002,26.245001000000002,26.245001000000002,17.825485,6000,0.0,1.0
2007-05-31,26.245001000000002,26.245001000000002,26.245001000000002,26.245001000000002,17.825485,0,0.0,1.0
2007-06-01,26.245001000000002,26.245001000000002,26.245001000000002,26.245001000000002,17.825485,0,0.0,1.0
2007-06-04,26.245001000000002,26.245001000000002,26.245001000000002,26.245001000000002,17.825485,0,0.0,1.0
2007-06-05,26.115,26.115,26.115,26.115,17.737198,2000,0.0,1.0
2007-06-06,26.125,26.135,26.125,26.135,17.750792999999998,2400,0.0,1.0
2007-06-07,26.135,26.135,26.135,26.135,17.750792999999998,0,0.0,1.0
2007-06-08,25.940001000000002,25.940001000000002,25.940001000000002,25.940001000000002,17.618332000000002,200,0.0,1.0
2007-06-11,25.934998999999998,25.934998999999998,25.93,25.934998999999998,17.614937,11600,0.0,1.0
2007-06-12,25.785,25.815001000000002,25.77,25.77,17.502882,7400,0.0,1.0
2007-06-13,25.83,25.83,25.825001,25.825001,17.540226,2400,0.0,1.0
2007-06-14,25.825001,25.825001,25.825001,25.825001,17.540226,0,0.0,1.0
2007-06-15,25.895,25.93,25.895,25.924999,17.608145,7200,0.0,1.0
2007-06-18,25.9,25.9,25.9,25.9,17.591164000000003,200,0.0,1.0
2007-06-19,25.9,25.9,25.9,25.9,17.591164000000003,0,0.0,1.0
2007-06-20,25.950001,25.950001,25.950001,25.950001,17.625128,1400,0.0,1.0
2007-06-21,25.950001,25.950001,25.950001,25.950001,17.625128,800,0.0,1.0
2007-06-22,25.950001,25.950001,25.950001,25.950001,17.625128,0,0.0,1.0
2007-06-25,25.950001,25.950001,25.950001,25.950001,17.625128,0,0.0,1.0
2007-06-26,26.01,26.01,26.01,26.01,17.665876,200,0.0,1.0
2007-06-27,26.01,26.01,26.01,26.01,17.665876,0,0.0,1.0
2007-06-28,26.040001,26.040001,26.040001,26.040001,17.686256,2600,0.0,1.0
2007-06-29,26.030001000000002,26.065001000000002,26.030001000000002,26.065001000000002,17.703229999999998,116000,0.0,1.0
2007-07-02,26.065001000000002,26.065001000000002,26.065001000000002,26.065001000000002,17.784769,0,0.1195,1.0
2007-07-03,25.965,25.99,25.959999,25.99,17.733598999999998,7200,0.0,1.0
2007-07-05,25.895,25.895,25.885,25.885,17.661942,600,0.0,1.0
2007-07-06,25.84,25.84,25.84,25.84,17.631245,1200,0.0,1.0
2007-07-09,25.84,25.84,25.84,25.84,17.631245,0,0.0,1.0
2007-07-10,25.940001000000002,25.940001000000002,25.940001000000002,25.940001000000002,17.699486,400,0.0,1.0
2007-07-11,25.995001000000002,25.995001000000002,25.945,25.945,17.702898,800,0.0,1.0
2007-07-12,25.945,25.945,25.945,25.945,17.702898,0,0.0,1.0
2007-07-13,25.924999,25.945,25.924999,25.934998999999998,17.696068,23600,0.0,1.0
2007-07-16,25.965,25.975,25.959999,25.975,17.723364,3600,0.0,1.0
2007-07-17,25.950001,25.950001,25.950001,25.950001,17.706305,200,0.0,1.0
2007-07-18,26.0,26.030001000000002,26.0,26.030001000000002,17.760887,2800,0.0,1.0
2007-07-19,25.995001000000002,26.01,25.995001000000002,26.01,17.747246,1000,0.0,1.0
2007-07-20,26.01,26.01,26.01,26.01,17.747246,0,0.0,1.0
2007-07-23,26.025,26.040001,26.025,26.040001,17.767708,21400,0.0,1.0
2007-07-24,26.055,26.055,26.045,26.045,17.77112,1400,0.0,1.0
2007-07-25,26.065001000000002,26.065001000000002,26.065001000000002,26.065001000000002,17.784769,34400,0.0,1.0
2007-07-26,26.110001,26.139999,26.110001,26.129998999999998,17.829132,1800,0.0,1.0
2007-07-27,26.195,26.195,26.195,26.195,17.873466,1600,0.0,1.0
2007-07-30,26.18,26.18,26.105,26.105,17.812051999999998,23000,0.0,1.0
2007-07-31,26.105,26.105,26.105,26.105,17.812051999999998,0,0.0,1.0
2007-08-01,26.030001000000002,26.030001000000002,26.030001000000002,26.030001000000002,17.839823000000003,200,0.1155,1.0
2007-08-02,26.045,26.084999,26.045,26.075001,17.870663,3800,0.0,1.0
2007-08-03,26.165001,26.165001,26.165001,26.165001,17.932344,200,0.0,1.0
2007-08-06,26.190001000000002,26.190001000000002,26.18,26.18,17.942621,1000,0.0,1.0
2007-08-07,26.155001000000002,26.155001000000002,26.129998999999998,26.129998999999998,17.908358,1000,0.0,1.0
2007-08-08,26.059998999999998,26.059998999999998,26.059998999999998,26.059998999999998,17.860386,1000,0.0,1.0
2007-08-09,26.059998999999998,26.059998999999998,26.059998999999998,26.059998999999998,17.860386,0,0.0,1.0
2007-08-10,26.110001,26.110001,26.110001,26.110001,17.89465,800,0.0,1.0
2007-08-13,26.014999,26.045,26.014999,26.040001,17.846678,2600,0.0,1.0
2007-08-14,26.200001,26.200001,26.200001,26.200001,17.956329,400,0.0,1.0
2007-08-15,26.165001,26.174999,26.125,26.174999,17.939199,6600,0.0,1.0
2007-08-16,26.174999,26.174999,26.174999,26.174999,17.939199,0,0.0,1.0
2007-08-17,26.209999,26.235001,26.190001000000002,26.190001000000002,17.949479999999998,3400,0.0,1.0
2007-08-20,26.190001000000002,26.190001000000002,26.190001000000002,26.190001000000002,17.949479999999998,0,0.0,1.0
2007-08-21,26.299999,26.299999,26.299999,26.299999,18.024874,800,0.0,1.0
2007-08-22,26.280001000000002,26.32,26.280001000000002,26.32,18.038567999999998,43600,0.0,1.0
2007-08-23,26.275,26.275,26.275,26.275,18.007734,200,0.0,1.0
2007-08-24,26.290001,26.299999,26.280001000000002,26.280001000000002,18.011166,1800,0.0,1.0
2007-08-27,26.360001,26.389999,26.360001,26.375,18.076275,1800,0.0,1.0
2007-08-28,26.370001000000002,26.440001000000002,26.370001000000002,26.43,18.113966,7400,0.0,1.0
2007-08-29,26.43,26.450001,26.405001000000002,26.415001,18.103679999999997,4000,0.0,1.0
2007-08-30,26.445,26.465,26.445,26.465,18.137945000000002,3800,0.0,1.0
2007-08-31,26.405001000000002,26.48,26.405001000000002,26.48,18.148236999999998,5200,0.0,1.0
2007-09-04,26.4,26.4,26.34,26.34,18.132734,60600,0.1175,1.0
2007-09-05,26.355,26.42,26.355,26.42,18.187819,400,0.0,1.0
2007-09-06,26.405001000000002,26.405001000000002,26.405001000000002,26.405001000000002,18.177483,30000,0.0,1.0
2007-09-07,26.485001,26.485001,26.485001,26.485001,18.232557,30000,0.0,1.0
2007-09-10,26.625,26.625,26.584999,26.584999,18.301397,3400,0.0,1.0
2007-09-11,26.549999,26.555,26.549999,26.555,18.280754,1600,0.0,1.0
2007-09-12,26.559998999999998,26.559998999999998,26.555,26.555,18.280754,4000,0.0,1.0
2007-09-13,26.495001000000002,26.51,26.465,26.5,18.242891,4000,0.0,1.0
2007-09-14,26.5,26.5,26.5,26.5,18.242891,200,0.0,1.0
2007-09-17,26.405001000000002,26.405001000000002,26.405001000000002,26.405001000000002,18.177483,1400,0.0,1.0
2007-09-18,26.440001000000002,26.52,26.42,26.52,18.25666,1400,0.0,1.0
2007-09-19,26.5,26.5,26.5,26.5,18.242891,200,0.0,1.0
2007-09-20,26.424999,26.424999,26.315001000000002,26.315001000000002,18.11554,17000,0.0,1.0
2007-09-21,26.34,26.35,26.34,26.35,18.139623999999998,600,0.0,1.0
2007-09-24,26.395,26.395,26.385,26.385,18.163719,600,0.0,1.0
2007-09-25,26.440001000000002,26.469998999999998,26.440001000000002,26.469998999999998,18.222233,2600,0.0,1.0
2007-09-26,26.370001000000002,26.465,26.370001000000002,26.405001000000002,18.177483,63600,0.0,1.0
2007-09-27,26.415001,26.475,26.415001,26.475,18.22567,2000,0.0,1.0
2007-09-28,26.485001,26.51,26.485001,26.49,18.236006,3000,0.0,1.0
2007-10-01,26.334999,26.365,26.334999,26.355,18.224936,2600,0.11900000000000001,1.0
2007-10-02,26.375,26.375,26.375,26.375,18.238782999999998,400,0.0,1.0
2007-10-03,26.395,26.395,26.395,26.395,18.252598000000003,600,0.0,1.0
2007-10-04,26.415001,26.475,26.415001,26.475,18.307917,5200,0.0,1.0
2007-10-05,26.395,26.41,26.395,26.41,18.262966,3600,0.0,1.0
2007-10-08,26.42,26.42,26.42,26.42,18.26989,5000,0.0,1.0
2007-10-09,26.385,26.385,26.370001000000002,26.370001000000002,18.235325,2200,0.0,1.0
2007-10-10,26.344998999999998,26.379998999999998,26.34,26.379998999999998,18.242237,2000,0.0,1.0
2007-10-11,26.34,26.34,26.34,26.34,18.214563000000002,200,0.0,1.0
2007-10-12,26.33,26.33,26.33,26.33,18.207653,200,0.0,1.0
2007-10-15,26.344998999999998,26.35,26.344998999999998,26.35,18.221481,800,0.0,1.0
2007-10-16,26.33,26.370001000000002,26.33,26.370001000000002,18.235325,600,0.0,1.0
2007-10-17,26.440001000000002,26.450001,26.440001000000002,26.450001,18.290634,2600,0.0,1.0
2007-10-18,26.450001,26.450001,26.450001,26.450001,18.290634,0,0.0,1.0
2007-10-19,26.684998999999998,26.700001,26.68,26.695,18.460058,2400,0.0,1.0
2007-10-22,26.674999,26.674999,26.67,26.67,18.442764,1000,0.0,1.0
2007-10-23,26.67,26.67,26.67,26.67,18.442764,0,0.0,1.0
2007-10-24,26.754998999999998,26.754998999999998,26.754998999999998,26.754998999999998,18.501549,1600,0.0,1.0
2007-10-25,26.834999,26.834999,26.815001000000002,26.825001,18.549953,1800,0.0,1.0
2007-10-26,26.735001,26.735001,26.735001,26.735001,18.487705,600,0.0,1.0
2007-10-29,26.65,26.690001000000002,26.629998999999998,26.690001000000002,18.4566,9800,0.0,1.0
2007-10-30,26.610001,26.725,26.610001,26.725,18.480798999999998,16600,0.0,1.0
2007-10-31,26.715,26.735001,26.715,26.725,18.480798999999998,2400,0.0,1.0
2007-11-01,26.66,26.75,26.635,26.705,18.549568,71600,0.11900000000000001,1.0
2007-11-02,26.700001,26.700001,26.700001,26.700001,18.546087,1000,0.0,1.0
2007-11-05,26.700001,26.700001,26.67,26.67,18.525253,2600,0.0,1.0
2007-11-06,26.610001,26.645,26.610001,26.615,18.487034,600,0.0,1.0
2007-11-07,26.594998999999998,26.655001000000002,26.594998999999998,26.655001000000002,18.514843,14000,0.0,1.0
2007-11-08,26.639999,26.639999,26.639999,26.639999,18.504423000000003,200,0.0,1.0
2007-11-09,26.715,26.74,26.690001000000002,26.74,18.57387,8400,0.0,1.0
2007-11-12,26.82,26.834999,26.82,26.834999,18.639862,3600,0.0,1.0
2007-11-13,26.719998999999998,26.725,26.705,26.725,18.563457,35600,0.0,1.0
2007-11-14,26.66,26.77,26.66,26.725,18.563457,301800,0.0,1.0
2007-11-15,26.754998999999998,26.764999,26.754998999999998,26.764999,18.591248,6000,0.0,1.0
2007-11-16,26.825001,26.825001,26.815001000000002,26.825001,18.632921,10200,0.0,1.0
2007-11-19,26.809998999999998,26.895,26.790001,26.889999,18.678068,21000,0.0,1.0
2007-11-20,26.879998999999998,26.879998999999998,26.825001,26.855,18.653767000000002,1800,0.0,1.0
2007-11-21,26.844998999999998,26.934998999999998,26.844998999999998,26.924999,18.702386999999998,39600,0.0,1.0
2007-11-23,26.895,26.915001,26.895,26.91,18.691961,8000,0.0,1.0
2007-11-26,26.950001,27.1,26.950001,27.1,18.823938000000002,82000,0.0,1.0
2007-11-27,27.035,27.040001,26.965,27.0,18.754479999999997,27800,0.0,1.0
2007-11-28,26.93,27.014999,26.924999,27.0,18.754479999999997,1129800,0.0,1.0
2007-11-29,27.01,27.02,27.004998999999998,27.004998999999998,18.757952,11600,0.0,1.0
2007-11-30,26.940001000000002,27.065001000000002,26.940001000000002,27.065001000000002,18.799633,54400,0.0,1.0
2007-12-03,27.040001,27.094998999999998,27.02,27.09,18.884321,28400,0.0965,1.0
2007-12-04,27.105,27.105,27.030001000000002,27.075001,18.873873,6400,0.0,1.0
2007-12-05,27.0,27.014999,26.99,27.01,18.828552,9200,0.0,1.0
2007-12-06,26.950001,26.950001,26.885,26.885,18.741421,23400,0.0,1.0
2007-12-07,26.865,26.865,26.775,26.809998999999998,18.689146,20600,0.0,1.0
2007-12-10,26.709999,26.754998999999998,26.700001,26.73,18.633371,47200,0.0,1.0
2007-12-11,26.754998999999998,26.870001000000002,26.754998999999998,26.870001000000002,18.730968,19600,0.0,1.0
2007-12-12,26.790001,26.84,26.754998999999998,26.83,18.703079000000002,14200,0.0,1.0
2007-12-13,26.754998999999998,26.754998999999998,26.709999,26.725,18.629879000000003,25600,0.0,1.0
2007-12-14,26.645,26.665001,26.610001,26.610001,18.549723,12200,0.0,1.0
2007-12-17,26.695,26.74,26.690001000000002,26.74,18.640341,11600,0.0,1.0
2007-12-18,26.76,26.834999,26.76,26.834999,18.706564,31000,0.0,1.0
2007-12-19,26.870001000000002,26.924999,26.85,26.924999,18.769304,12400,0.0,1.0
2007-12-20,26.870001000000002,26.969998999999998,26.865,26.9,18.751877,43000,0.0,1.0
2007-12-21,26.844998999999998,26.844998999999998,26.805,26.834999,18.706564,27200,0.0,1.0
